Wave,Panel,Topic,Variable,Question text,Value_code,Value_label,Audience_broad,Audience_specific,Weighting variable
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_bachelors,How likely are you to consider doing the following after you finish at school/college? Bachelor’s/Undergraduate degree,1,Very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_bachelors,How likely are you to consider doing the following after you finish at school/college? Bachelor’s/Undergraduate degree,2,Fairly likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_bachelors,How likely are you to consider doing the following after you finish at school/college? Bachelor’s/Undergraduate degree,3,Not very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_bachelors,How likely are you to consider doing the following after you finish at school/college? Bachelor’s/Undergraduate degree,4,Not at all likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_bachelors,How likely are you to consider doing the following after you finish at school/college? Bachelor’s/Undergraduate degree,5,I've never heard of this type of qualification,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_traineeship,How likely are you to consider doing the following after you finish at school/college? Traineeship,-1,Don't know,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_traineeship,How likely are you to consider doing the following after you finish at school/college? Traineeship,1,Very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_traineeship,How likely are you to consider doing the following after you finish at school/college? Traineeship,2,Fairly likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_traineeship,How likely are you to consider doing the following after you finish at school/college? Traineeship,3,Not very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_traineeship,How likely are you to consider doing the following after you finish at school/college? Traineeship,4,Not at all likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_traineeship,How likely are you to consider doing the following after you finish at school/college? Traineeship,5,I've never heard of this type of qualification,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_appren,How likely are you to consider doing the following after you finish at school/college? Apprenticeship,-1,Don't know,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_appren,How likely are you to consider doing the following after you finish at school/college? Apprenticeship,1,Very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_appren,How likely are you to consider doing the following after you finish at school/college? Apprenticeship,2,Fairly likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_appren,How likely are you to consider doing the following after you finish at school/college? Apprenticeship,3,Not very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_appren,How likely are you to consider doing the following after you finish at school/college? Apprenticeship,4,Not at all likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_appren,How likely are you to consider doing the following after you finish at school/college? Apprenticeship,5,I've never heard of this type of qualification,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_degappren,How likely are you to consider doing the following after you finish at school/college? Degree Apprenticeship,-1,Don't know,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_degappren,How likely are you to consider doing the following after you finish at school/college? Degree Apprenticeship,1,Very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_degappren,How likely are you to consider doing the following after you finish at school/college? Degree Apprenticeship,2,Fairly likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_degappren,How likely are you to consider doing the following after you finish at school/college? Degree Apprenticeship,3,Not very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_degappren,How likely are you to consider doing the following after you finish at school/college? Degree Apprenticeship,4,Not at all likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_degappren,How likely are you to consider doing the following after you finish at school/college? Degree Apprenticeship,5,I've never heard of this type of qualification,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_level45,How likely are you to consider doing the following after you finish at school/college? Level 4 and 5 qualification (such as Higher National Diploma or a foundation degree),-1,Don't know,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_level45,How likely are you to consider doing the following after you finish at school/college? Level 4 and 5 qualification (such as Higher National Diploma or a foundation degree),1,Very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_level45,How likely are you to consider doing the following after you finish at school/college? Level 4 and 5 qualification (such as Higher National Diploma or a foundation degree),2,Fairly likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_level45,How likely are you to consider doing the following after you finish at school/college? Level 4 and 5 qualification (such as Higher National Diploma or a foundation degree),3,Not very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_level45,How likely are you to consider doing the following after you finish at school/college? Level 4 and 5 qualification (such as Higher National Diploma or a foundation degree),4,Not at all likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_level45,How likely are you to consider doing the following after you finish at school/college? Level 4 and 5 qualification (such as Higher National Diploma or a foundation degree),5,I've never heard of this type of qualification,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_HTQ,How likely are you to consider doing the following after you finish at school/college? Higher Technical Qualifications (HTQs),-1,Don't know,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_HTQ,How likely are you to consider doing the following after you finish at school/college? Higher Technical Qualifications (HTQs),1,Very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_HTQ,How likely are you to consider doing the following after you finish at school/college? Higher Technical Qualifications (HTQs),2,Fairly likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_HTQ,How likely are you to consider doing the following after you finish at school/college? Higher Technical Qualifications (HTQs),3,Not very likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_HTQ,How likely are you to consider doing the following after you finish at school/college? Higher Technical Qualifications (HTQs),4,Not at all likely,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_consider_HTQ,How likely are you to consider doing the following after you finish at school/college? Higher Technical Qualifications (HTQs),5,I've never heard of this type of qualification,Secondary pupils; 16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_bachelors,Are you planning on starting the following after you finish at school/college? Bachelor’s/Undergraduate degree,-1,Don't know,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_bachelors,Are you planning on starting the following after you finish at school/college? Bachelor’s/Undergraduate degree,1,Yes - I'm definitely planning on doing this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_bachelors,Are you planning on starting the following after you finish at school/college? Bachelor’s/Undergraduate degree,2,Yes - I'm considering this along with other options,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_bachelors,Are you planning on starting the following after you finish at school/college? Bachelor’s/Undergraduate degree,3,No – but I considered this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_bachelors,Are you planning on starting the following after you finish at school/college? Bachelor’s/Undergraduate degree,4,No – and I did not consider this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_bachelors,Are you planning on starting the following after you finish at school/college? Bachelor’s/Undergraduate degree,5,I've never heard of this type of qualification,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_traineeship,Are you planning on starting the following after you finish at school/college? Traineeship,-1,Don't know,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_traineeship,Are you planning on starting the following after you finish at school/college? Traineeship,1,Yes - I'm definitely planning on doing this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_traineeship,Are you planning on starting the following after you finish at school/college? Traineeship,2,Yes - I'm considering this along with other options,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_traineeship,Are you planning on starting the following after you finish at school/college? Traineeship,3,No – but I considered this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_traineeship,Are you planning on starting the following after you finish at school/college? Traineeship,4,No – and I did not consider this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_traineeship,Are you planning on starting the following after you finish at school/college? Traineeship,5,I've never heard of this type of qualification,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_appren,Are you planning on starting the following after you finish at school/college? Apprenticeship,-1,Don't know,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_appren,Are you planning on starting the following after you finish at school/college? Apprenticeship,1,Yes - I'm definitely planning on doing this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_appren,Are you planning on starting the following after you finish at school/college? Apprenticeship,2,Yes - I'm considering this along with other options,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_appren,Are you planning on starting the following after you finish at school/college? Apprenticeship,3,No – but I considered this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_appren,Are you planning on starting the following after you finish at school/college? Apprenticeship,4,No – and I did not consider this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_appren,Are you planning on starting the following after you finish at school/college? Apprenticeship,5,I've never heard of this type of qualification,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_degappren,Are you planning on starting the following after you finish at school/college? Degree Apprenticeship,-1,Don't know,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_degappren,Are you planning on starting the following after you finish at school/college? Degree Apprenticeship,1,Yes - I'm definitely planning on doing this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_degappren,Are you planning on starting the following after you finish at school/college? Degree Apprenticeship,2,Yes - I'm considering this along with other options,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_degappren,Are you planning on starting the following after you finish at school/college? Degree Apprenticeship,3,No – but I considered this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_degappren,Are you planning on starting the following after you finish at school/college? Degree Apprenticeship,4,No – and I did not consider this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_degappren,Are you planning on starting the following after you finish at school/college? Degree Apprenticeship,5,I've never heard of this type of qualification,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_level45,Are you planning on starting the following after you finish at school/college?  Level 4 and 5 qualification (such as Higher National Diploma or foundation degree),1,Yes - I'm definitely planning on doing this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_level45,Are you planning on starting the following after you finish at school/college?  Level 4 and 5 qualification (such as Higher National Diploma or foundation degree),2,Yes - I'm considering this along with other options,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_level45,Are you planning on starting the following after you finish at school/college?  Level 4 and 5 qualification (such as Higher National Diploma or foundation degree),3,No – but I considered this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_level45,Are you planning on starting the following after you finish at school/college?  Level 4 and 5 qualification (such as Higher National Diploma or foundation degree),4,No – and I did not consider this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_level45,Are you planning on starting the following after you finish at school/college?  Level 4 and 5 qualification (such as Higher National Diploma or foundation degree),5,I've never heard of this type of qualification,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_level45,Are you planning on starting the following after you finish at school/college?  Level 4 and 5 qualification (such as Higher National Diploma or foundation degree),-1,Don't know,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_HTQ,Are you planning on starting the following after you finish at school/college? Higher Technical Qualifications (HTQs),-1,Don't know,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_HTQ,Are you planning on starting the following after you finish at school/college? Higher Technical Qualifications (HTQs),1,Yes - I'm definitely planning on doing this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_HTQ,Are you planning on starting the following after you finish at school/college? Higher Technical Qualifications (HTQs),2,Yes - I'm considering this along with other options,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_HTQ,Are you planning on starting the following after you finish at school/college? Higher Technical Qualifications (HTQs),3,No – but I considered this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_HTQ,Are you planning on starting the following after you finish at school/college? Higher Technical Qualifications (HTQs),4,No – and I did not consider this,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_plan_HTQ,Are you planning on starting the following after you finish at school/college? Higher Technical Qualifications (HTQs),5,I've never heard of this type of qualification,16-19 pupils and learners,PupilYearGroup_NPDILR=13,W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware,"Before today, how much did you know about HTQs and what they involve?",-1,Don't know,16-19 pupils and learners,"futurestudy_plan_HTQ=1,2,3,4,6 or futurestudy_consider_HTQ=1,2,3,4,6",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware,"Before today, how much did you know about HTQs and what they involve?",1,A lot,16-19 pupils and learners,"futurestudy_plan_HTQ=1,2,3,4,6 or futurestudy_consider_HTQ=1,2,3,4,6",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware,"Before today, how much did you know about HTQs and what they involve?",2,A little,16-19 pupils and learners,"futurestudy_plan_HTQ=1,2,3,4,6 or futurestudy_consider_HTQ=1,2,3,4,6",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware,"Before today, how much did you know about HTQs and what they involve?",3,Only heard of the name,16-19 pupils and learners,"futurestudy_plan_HTQ=1,2,3,4,6 or futurestudy_consider_HTQ=1,2,3,4,6",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware,"Before today, how much did you know about HTQs and what they involve?",4,Never heard of them,16-19 pupils and learners,"futurestudy_plan_HTQ=1,2,3,4,6 or futurestudy_consider_HTQ=1,2,3,4,6",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware_rebase,"Before today, how much did you know about HTQs and what they involve? Rebased",-1,Don't know,16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12,13",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware_rebase,"Before today, how much did you know about HTQs and what they involve? Rebased",1,A lot,16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12,13",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware_rebase,"Before today, how much did you know about HTQs and what they involve? Rebased",2,A little,16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12,13",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware_rebase,"Before today, how much did you know about HTQs and what they involve? Rebased",3,Only heard of the name,16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12,13",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,HTQ Awareness,futurestudy_HTQaware_rebase,"Before today, how much did you know about HTQs and what they involve? Rebased",4,Not heard of them,16-19 pupils and learners,"PupilYearGroup_NPDILR=11,12,13",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,"Lifelong learning, short/modular courses, and HE decision-making",futurestudy_considerations_1,"When choosing what higher education course to study (for example at a university or further education college), what are your three most important considerations? Interest in the subject",0,No,16-19 pupils and learners,"futurestudy_plan_bachelors=1,2,3,6 or futurestudy_plan_degappren=1,2,3,6 or futurestudy_plan_level45=1,2,3,6 or futurestudy_plan_HTQ=1,2,3,6 or futurestudy_consider_bachelors=1,2 or futurestudy_consider_degappren=1,2 or futurestudy_consider_level45=1,2 or futurestudy_consider_HTQ=1,2",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,"Lifelong learning, short/modular courses, and HE decision-making",futurestudy_considerations_1,"When choosing what higher education course to study (for example at a university or further education college), what are your three most important considerations? Interest in the subject",1,Yes,16-19 pupils and learners,"futurestudy_plan_bachelors=1,2,3,6 or futurestudy_plan_degappren=1,2,3,6 or futurestudy_plan_level45=1,2,3,6 or futurestudy_plan_HTQ=1,2,3,6 or futurestudy_consider_bachelors=1,2 or futurestudy_consider_degappren=1,2 or futurestudy_consider_level45=1,2 or futurestudy_consider_HTQ=1,2",W2_SecondaryPupilsLearners_Y7toY13_weight
27/02/2024,PPLV,"Lifelong learning, short/modular courses, and HE decision-making",futurestudy_considerations_2,"When choosing what higher education course to study (for example at a university or further education college), what are your three most important considerations? The career it could lead to",0,No,16-19 pupils and learners,"futurestudy_plan_bachelors=1,2,3,6 or futurestudy_plan_degappren=1,2,3,6 or futurestudy_plan_level45=1,2,3,6 or futurestudy_plan_HTQ=1,2,3,6 or futurestudy_consider_bachelors=1,2 or futurestudy_consider_degappren=1,2 or futurestudy_consider_level45=1,2 or futurestudy_consider_HTQ=1,2",W2_SecondaryPupilsLearners_Y7toY13_weight
